S.No,English,Hindi
202,move to sidebar,योगदान वार्ता
203,hide,2.1
204,,
205,,
206,,
207,,
208,(Top),सामग्री
209,,
210,,
211,,
212,,
213,,
214,1,1
215,Etymology,छुपाएँ
216,,
217,,
218,,
219,,
220,,
221,,
222,,
223,,
224,2,2
225,History,शुरुआत
226,,
227,,
228,,
229,,
230,Toggle History subsection,इतिहास उप-अनुभाग को टॉगल करें
231,,
232,,
233,,
234,,
235,,
236,2.1,2.2
237,Ancient India,साइडबार पर जाएँ
238,,
239,,
240,,
241,,
242,,
243,,
244,,
245,,
246,2.2,2.3
247,Medieval India,नामोत्पत्ति
248,,
249,,
250,,
251,,
252,,
253,,
254,,
255,,
256,2.3,2.4
257,Early modern India,प्राचीन भारत
258,,
259,,
260,,
261,,
262,,
263,,
264,,
265,,
266,2.4,3.1
267,Modern India,मध्यकालीन भारत
268,,
269,,
270,,
271,,
272,,
273,,
274,,
275,,
276,,
277,,
278,3,3
279,Geography,इतिहास
280,,
281,,
282,,
283,,
284,,
285,,
286,,
287,,
288,4,4
289,Biodiversity,आधुनिक भारत
290,,
291,,
292,,
293,,
294,,
295,,
296,,
297,,
298,5,5
299,Politics and government,प्रारंभिक आधुनिक भारत
300,,
301,,
302,,
303,,
304,Toggle Politics and government subsection,भूगोल एवं जलवायु उप-अनुभाग को टॉगल करें
305,,
306,,
307,,
308,,
309,,
310,5.1,3.2
311,Politics,जलवायु
312,,
313,,
314,,
315,,
316,,
317,,
318,,
319,,
320,5.2,4.1
321,Government,राजनीति
322,,
323,,
324,,
325,,
326,,
327,,
328,,
329,,
330,5.3,4.2
331,Administrative divisions,भू-आकृतिक विशेषतायें
332,,
333,,
334,,
335,,
336,,
337,,
338,5.3.1,सरकार
339,States,धर्म
340,,
341,,
342,,
343,,
344,,
345,,
346,,
347,,
348,5.3.2,4.3
349,Union territories,भूगोल एवं जलवायु
350,,
351,,
352,,
353,,
354,,
355,,
356,,
357,,
358,,
359,,
360,,
361,,
362,6,6
363,"Foreign, economic, and strategic relations",राजनीति एवं सरकार उप-अनुभाग को टॉगल करें
364,,
365,,
366,,
367,,
368,,
369,,
370,,
371,,
372,7,7
373,Economy,भाषाएँ
374,,
375,,
376,,
377,,
378,Toggle Economy subsection,राजनीति एवं सरकार
379,,
380,,
381,,
382,,
383,,
384,7.1,4.4
385,Industries,विदेश-सम्बन्ध
386,,
387,,
388,,
389,,
390,,
391,,
392,,
393,,
394,7.2,4.5
395,Energy,संस्कृति
396,,
397,,
398,,
399,,
400,,
401,,
402,,
403,,
404,7.3,6.1
405,Socio-economic challenges,जनसांख्यिकी एवं भाषाएँ
406,,
407,,
408,,
409,,
410,,
411,,
412,,
413,,
414,,
415,,
416,8,8
417,"Demographics, languages, and religion",जनसांख्यिकी एवं भाषाएँ उप-अनुभाग को टॉगल करें
418,,
419,,
420,,
421,,
422,,
423,,
424,,
425,,
426,9,9
427,Culture,सन्दर्भ
428,,
429,,
430,,
431,,
432,Toggle Culture subsection,भारत की जनजातियां
433,,
434,,
435,,
436,,
437,,
438,9.1,6.2
439,Visual art,सैन्य शक्ति
440,,
441,,
442,,
443,,
444,,
445,,
446,,
447,,
448,9.2,6.3
449,Architecture,प्रशासनिक प्रभाग
450,,
451,,
452,,
453,,
454,,
455,,
456,,
457,,
458,9.3,7.1
459,Literature,अर्थव्यवस्था
460,,
461,,
462,,
463,,
464,,
465,,
466,,
467,,
468,9.4,7.2
469,Performing arts and media,संस्कृति उप-अनुभाग को टॉगल करें
470,,
471,,
472,,
473,,
474,,
475,,
476,,
477,,
478,9.5,7.3
479,Society,लेख संवाद
480,,
481,,
482,,
483,,
484,,
485,,
486,,
487,,
488,9.6,10
489,Education,भारतीय पर्व
490,,
491,,
492,,
493,,
494,,
495,,
496,,
497,,
498,9.7,11
499,Clothing,302 भाषाएँ
500,,
501,,
502,,
503,,
504,,
505,,
506,,
507,,
508,9.8,भारत
509,Cuisine,हिन्दी
510,,
511,,
512,,
513,,
514,,
515,,
516,,
517,,
518,9.9,ध्वज
519,Sports and recreation,सिनेमा और टेलीविज़न
520,,
521,,
522,,
523,,
524,,
525,,
526,,
527,,
528,,
529,,
530,10,१
531,See also,उपकरण
532,,
533,,
534,,
535,,
536,,
537,,
538,,
539,,
540,11,११
541,Notes,उपकरण
542,,
543,,
544,,
545,,
546,,
547,,
548,,
549,,
550,12,२
551,References,टिप्पणी सूची
552,,
553,,
554,,
555,,
556,,
557,,
558,,
559,,
560,13,१२
561,Bibliography,इन्हें भी देखें
562,,
563,,
564,,
565,,
566,Toggle Bibliography subsection,विषयसूची को टॉगल करें
567,,
568,,
569,,
570,,
571,,
572,13.1,सरकार
573,Overview,छुपाएँ
574,,
575,,
576,,
577,,
578,,
579,,
580,,
581,,
582,13.2,श्रेणी
583,Etymology,क्रियाएँ
584,,
585,,
586,,
587,,
588,,
589,,
590,,
591,,
592,13.3,श्रेणी
593,History,सामान्य
594,,
595,,
596,,
597,,
598,,
599,,
600,,
601,,
602,13.4,मुंबई
603,Geography,दिखावट
604,,
605,,
606,,
607,,
608,,
609,,
610,,
611,,
612,13.5,मुंबई
613,Biodiversity,बाहरी कड़ियाँ
614,,
615,,
616,,
617,,
618,,
619,,
620,,
621,,
622,13.6,लखनऊ
623,Politics,छुपाएँ
624,,
625,,
626,,
627,,
628,,
629,,
630,,
631,,
632,13.7,इंदौर
633,Foreign relations and military,पुस्तक बनायें प्रिन्ट करने लायक
634,,
635,,
636,,
637,,
638,,
639,,
640,,
641,,
642,13.8,ठाणे
643,Economy,Checked
644,,
645,,
646,,
647,,
648,,
649,,
650,,
651,,
652,13.9,भोपाल
653,Demographics,साइडबार पर जाएँ
654,,
655,,
656,,
657,,
658,,
659,,
660,,
661,,
662,13.10,इतिहास
663,Art,१३
664,,
665,,
666,,
667,,
668,,
669,,
670,,
671,,
672,13.11,जलवायु
673,Culture,राजनीति
674,,
675,,
676,,
677,,
678,,
679,,
680,,
681,,
682,,
683,,
684,14,३
685,External links,पाक-शैली (खानपान)
686,,
687,,
688,,
689,,
690,,
691,,
692,,
693,,
694,,
695,,
696,,
697,,
698,,
699,,
700,,
701,,
702,,
703,,
704,Toggle the table of contents,कड़ियाँ संपादित करें
705,,
706,,
707,,
708,,
709,,
710,,
711,,
712,India,मोटापा
713,,
714,,
715,,
716,302 languages,मुद्रण/निर्यात
717,,
718,,
719,,
720,,
721,Acèh Адыгэбзэ Адыгабзэ Afrikaans Alemannisch አማርኛ Anarâškielâ अंगिका Ænglisc Аԥсшәа العربية Aragonés ܐܪܡܝܐ Արեւմտահայերէն Armãneashti Arpetan অসমীয়া Asturianu Atikamekw अवधी Avañe'ẽ Авар Aymar aru Azərbaycanca تۆرکجه Basa Bali বাংলা Banjar 閩南語 / Bân-lâm-gú Basa Banyumasan Башҡортса Беларуская Беларуская (тарашкевіца) भोजपुरी Bikol Central Bislama Български Boarisch བོད་ཡིག Bosanski Brezhoneg Буряад Català Чӑвашла Cebuano Čeština Chamoru Chavacano de Zamboanga Chi-Chewa ChiShona ChiTumbuka Corsu Cymraeg Dagbanli Dansk الدارجة Davvisámegiella Deitsch Deutsch ދިވެހިބަސް Diné bizaad Dolnoserbski डोटेली ཇོང་ཁ Eesti Ελληνικά Эрзянь Español Esperanto Estremeñu Euskara Eʋegbe فارسی Fiji Hindi Føroyskt Français Frysk Fulfulde Furlan Gaeilge Gaelg Gagauz Gàidhlig Galego ГӀалгӀай 贛語 Gĩkũyũ گیلکی ગુજરાતી 𐌲𐌿𐍄𐌹𐍃𐌺 गोंयची कोंकणी / Gõychi Konknni 客家語 / Hak-kâ-ngî Хальмг 한국어 Hausa Hawaiʻi Հայերեն हिन्दी Hornjoserbsce Hrvatski Ido Igbo Ilokano বিষ্ণুপ্রিয়া মণিপুরী Bahasa Indonesia Interlingua Interlingue ᐃᓄᒃᑎᑐᑦ / inuktitut Iñupiatun Ирон IsiXhosa IsiZulu Íslenska Italiano עברית Jawa Kabɩyɛ ಕನ್ನಡ Kapampangan Къарачай-малкъар ქართული कॉशुर / کٲشُر Kaszëbsczi Қазақша Kernowek Ikinyarwanda Ikirundi Kiswahili Коми Kongo Kotava Kreyòl ayisyen Kriyòl gwiyannen Kurdî Кыргызча Ladin Ladino Лакку ລາວ Latgaļu Latina Latviešu Lëtzebuergesch Лезги Lietuvių Ligure Limburgs Lingála Lingua Franca Nova Livvinkarjala La .lojban.,Аԥсшәа Acèh Адыгабзэ Afrikaans Alemannisch አማርኛ Pangcah Aragonés Ænglisc Obolo अंगिका العربية ܐܪܡܝܐ الدارجة مصرى অসমীয়া Asturianu Atikamekw Авар Kotava अवधी Aymar aru Azərbaycanca تۆرکجه Башҡортса Basa Bali Boarisch Žemaitėška Batak Toba Bikol Central Беларуская Беларуская (тарашкевіца) Betawi Български भोजपुरी Bislama Banjar ပအိုဝ်ႏဘာႏသာႏ বাংলা བོད་ཡིག বিষ্ণুপ্রিয়া মণিপুরী Brezhoneg Bosanski Batak Mandailing Basa Ugi Буряад Català Chavacano de Zamboanga 閩東語 / Mìng-dĕ̤ng-ngṳ̄ Нохчийн Cebuano Chamoru ᏣᎳᎩ Tsetsêhestâhese کوردی Corsu Qırımtatarca Čeština Kaszëbsczi Словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ Чӑвашла Cymraeg Dansk Dagbanli Deutsch Thuɔŋjäŋ Zazaki Dolnoserbski Kadazandusun डोटेली ދިވެހިބަސް ཇོང་ཁ Eʋegbe Ελληνικά English Esperanto Español Eesti Euskara Estremeñu فارسی Fulfulde Suomi Võro Na Vosa Vakaviti Føroyskt Français Arpetan Nordfriisk Furlan Frysk Gaeilge Gagauz 贛語 Kriyòl gwiyannen Gàidhlig Galego گیلکی Avañe'ẽ गोंयची कोंकणी / Gõychi Konknni 𐌲𐌿𐍄𐌹𐍃𐌺 ગુજરાતી Gaelg Hausa 客家語 / Hak-kâ-ngî Hawaiʻi עברית Fiji Hindi Hrvatski Hornjoserbsce Kreyòl ayisyen Magyar Հայերեն Արեւմտահայերէն Interlingua Jaku Iban Bahasa Indonesia Interlingue Igbo Iñupiatun Ilokano ГӀалгӀай Ido Íslenska Italiano ᐃᓄᒃᑎᑐᑦ / inuktitut 日本語 Patois La .lojban.
722,Lombard Magyar Madhurâ मैथिली Македонски Malagasy മലയാളം Malti Māori मराठी მარგალური مصرى مازِرونی Bahasa Melayu ꯃꯤꯇꯩ ꯂꯣꯟ Minangkabau 閩東語 / Mìng-dĕ̤ng-ngṳ̄ Mirandés Мокшень Монгол မြန်မာဘာသာ Na Vosa Vakaviti Nederlands Nedersaksies नेपाली नेपाल भाषा 日本語 Napulitano Нохчийн Nordfriisk Norsk bokmål Norsk nynorsk Nouormand Novial Occitan Олык марий ଓଡ଼ିଆ Oromoo Oʻzbekcha / ўзбекча ਪੰਜਾਬੀ पालि Pangcah پنجابی ပအိုဝ်ႏဘာႏသာႏ Papiamentu پښتو Patois ភាសាខ្មែរ Picard Piemontèis Tok Pisin Plattdüütsch Polski Português Qaraqalpaqsha Qırımtatarca Reo tahiti Română Romani čhib Rumantsch Runa Simi Русиньскый Русский Саха тыла Sakizaya Gagana Samoa संस्कृतम् Sängö ᱥᱟᱱᱛᱟᱲᱤ سرائیکی Sardu Scots Seediq Seeltersk Sesotho Sesotho sa Leboa Shqip Sicilianu සිංහල Simple English سنڌي SiSwati Slovenčina Slovenščina Словѣньскъ / ⰔⰎⰑⰂⰡⰐⰠⰔⰍⰟ Ślůnski Soomaaliga کوردی Sranantongo Српски / srpski Srpskohrvatski / српскохрватски Sunda Suomi Svenska Tagalog தமிழ் Taqbaylit Tarandíne Татарча / tatarça တႆး Tayal తెలుగు Tetun ไทย Thuɔŋjäŋ ትግርኛ Тоҷикӣ Lea faka-Tonga ᏣᎳᎩ Tsetsêhestâhese ತುಳು Türkçe Türkmençe Twi Tyap Удмурт Basa Ugi Українська اردو ئۇيغۇرچە / Uyghurche Vahcuengh Vèneto Vepsän kel’ Tiếng Việt Volapük Võro Walon 文言 West-Vlams Winaray Wolof 吴语 Xitsonga ייִדיש Yorùbá 粵語 Zazaki Zeêuws Žemaitėška 中文 Obolo Batak Toba Betawi Batak Mandailing Kadazandusun Jaku Iban Kumoring Yerwa Kanuri ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ Tolışi ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ,Jawa ქართული Qaraqalpaqsha Taqbaylit Адыгэбзэ Kabɩyɛ Tyap Kongo Kumoring Gĩkũyũ Қазақша ភាសាខ្មែរ ಕನ್ನಡ Yerwa Kanuri 한국어 Къарачай-малкъар कॉशुर / کٲشُر Kurdî Коми Kernowek Кыргызча Latina Ladino Lëtzebuergesch Лакку Лезги Lingua Franca Nova Limburgs Ligure Ladin Lombard Lingála ລາວ Lietuvių Latgaļu Latviešu Madhurâ मैथिली Basa Banyumasan Мокшень Malagasy Олык марий Māori Minangkabau Македонски മലയാളം Монгол ꯃꯤꯇꯩ ꯂꯣꯟ मराठी Bahasa Melayu Malti Mirandés မြန်မာဘာသာ Эрзянь مازِرونی Napulitano Plattdüütsch Nedersaksies नेपाली नेपाल भाषा Nederlands Norsk nynorsk Norsk bokmål Novial Nouormand Sesotho sa Leboa Diné bizaad Chi-Chewa Occitan Livvinkarjala Oromoo ଓଡ଼ିଆ Ирон ਪੰਜਾਬੀ Kapampangan Papiamentu Picard Deitsch पालि Polski Piemontèis پنجابی پښتو Português Runa Simi Rumantsch Romani čhib Ikirundi Română Armãneashti Tarandíne Русский Русиньскый Ikinyarwanda संस्कृतम् Саха тыла ᱥᱟᱱᱛᱟᱲᱤ Sardu Sicilianu Scots سنڌي Davvisámegiella Sängö Srpskohrvatski / српскохрватски တႆး සිංහල Simple English Slovenčina سرائیکی Slovenščina Gagana Samoa Anarâškielâ ChiShona Soomaaliga Shqip Српски / srpski Sranantongo SiSwati Sesotho Seeltersk Sunda Svenska Kiswahili Ślůnski Sakizaya தமிழ் Tayal ತುಳು ᥖᥭᥰ ᥖᥬᥲ ᥑᥨᥒᥰ తెలుగు Tetun Тоҷикӣ ไทย ትግርኛ Türkmençe Tagalog Tolışi Lea faka-Tonga Tok Pisin Türkçe Seediq Xitsonga Татарча / tatarça ChiTumbuka Twi Reo tahiti Удмурт ئۇيغۇرچە / Uyghurche Українська اردو Oʻzbekcha / ўзбекча Vèneto Vepsän kel’ Tiếng Việt West-Vlams Volapük Walon Winaray Wolof 吴语 Хальмг IsiXhosa მარგალური ייִדיש Yorùbá Vahcuengh Zeêuws ⵜⴰⵎⴰⵣⵉⵖⵜ ⵜⴰⵏⴰⵡⴰⵢⵜ 中文 文言 閩南語 / Bân-lâm-gú 粵語 IsiZulu
723,,
724,Edit links,राज्य प्रतीक
725,,
726,,
727,,
728,,
729,,
730,,
731,,
732,,
733,,
734,,
735,,
736,Article Talk,साइडबार पर जाएँ
737,,
738,,
739,,
740,,
741,,
742,English,क्षेत्रफल
743,,
744,,
745,,
746,,
747,,
748,,
749,,
750,,
751,,
752,,
753,,
754,,
755,,
756,,
757,,
758,,
759,,
760,Read View source View history,दूसरे परियोजनाओं में
761,,
762,,
763,,
764,,
765,,
766,,
767,,
768,Tools,वनावरण
769,,
770,,
771,,
772,,
773,,
774,Tools,जनसंख्या
775,move to sidebar,मुंबई  (शहर उचित)
776,hide,सुरत
777,,
778,,
779,,
780,Actions,जनसंख्या
781,,
782,,
783,,
784,Read View source View history,मुक्त ज्ञानकोश विकिपीडिया से
785,,
786,,
787,,
788,,
789,,
790,General,अपराध दर
791,,
792,,
793,,
794,What links here Related changes Upload file Permanent link Page information Cite this page Get shortened URL Download QR code,मुखपृष्ठ चौपाल हाल में हुए परिवर्तन हाल की घटनाएँ समुदाय प्रवेशद्वार निर्वाचित विषयवस्तु यादृच्छिक लेख विशेष पृष्ठ
795,,
796,,
797,,
798,,
799,,
800,Print/export,नामोत्पत्ति
801,,
802,,
803,,
804,Download as PDF Printable version,दिल्ली  (महानगरीय क्षेत्र)
805,,
806,,
807,,
808,,
809,,
810,In other projects,प्राचीन भारत
811,,
812,,
813,,
814,Wikimedia Commons Wikinews Wikiquote Wikivoyage Wikidata item,पढ़ें अनिरीक्षित बदलाव स्रोत देखें इतिहास देखें
815,,
816,,
817,,
818,,
819,,
820,,
821,,
822,,
823,,
824,,
825,,
826,,
827,,
828,,
829,,
830,,
831,,
832,,
833,,
834,,
835,,
836,Appearance,आधुनिक भारत
837,move to sidebar,मध्यकालीन भारत
838,hide,पुणे
839,,
840,,
841,,
842,,
843,,
844,,
845,,
846,,
847,,
848,Coordinates :  21°N   78°E ﻿ / ﻿ 21°N 78°E ﻿ /  21; 78,पढ़ें अनिरीक्षित बदलाव स्रोत देखें इतिहास देखें
849,,
850,,
851,,
852,"From Wikipedia, the free encyclopedia",13 अनिरीक्षित बदलावों  का पुनरीक्षण बाकी है।
853,,
854,,
855,Country in South Asia,मुख्य लेख:  भारत का इतिहास
856,This article is about the Republic of India.,राज्य स्तरीय  तथा  आठवीं अनुसूची [ 8 ]
857,"For other uses, see  India (disambiguation) .",उनका समाज विस्तृत सृजनशीलता से भरा हुआ था।  [ 24 ]
858,Republic of India Bhārat Gaṇarājya,मुख्य लेख:  भारत नाम की उत्पत्ति
859,,
860,,
861,Flag,पटना
862,,
863,,
864,,
865,State emblem,भूगोल एवं जलवायु
866,,
867,"Motto:  Satyameva Jayate   ( Sanskrit ) ""Truth Alone Triumphs"" [ 1 ] Anthem:   Jana Gana Mana   ( Hindi ) [ a ] [ 2 ] [ 3 ] ""Thou Art the Ruler of the Minds of All People"" [ 4 ] [ 2 ]",यहाँ क्या जुड़ता है पृष्ठ से जुड़े बदलाव चित्र अपलोड करें स्थायी कड़ी पृष्ठ की जानकारी यह लेख उद्धृत करें संक्षिप्त URL प्राप्त करें QR कोड डाउनलोड करें छोटा यू॰आर॰एल
868,"National song:  Vande Mataram   ( Sanskrit ) [ c ] ""I Bow to Thee, Mother"" [ b ] [ 1 ] [ 2 ]",भारत गणराज्य Republic of India     ( अन्य क्षेत्रीय भाषाओं में  देखें)
869,Territory controlled by India     Territory claimed but not controlled Capital New Delhi 28°36′50″N   77°12′30″E ﻿ / ﻿ 28.61389°N 77.20833°E ﻿ /  28.61389; 77.20833 Largest city  by  city proper population Mumbai Largest city  by metropolitan area population Delhi Official languages Hindi English [ d ] [ 8 ] Recognised regional languages,भारत द्वारा नियंत्रित क्षेत्र को गहरे हरे रंग में दिखाया गया है; दावा किया गया लेकिन नियंत्रित नहीं किया गया क्षेत्र हल्के हरे रंग में दिखाया गया है राजधानी नई दिल्ली 28°36′50″N   77°12′30″E ﻿ / ﻿ 28.61389°N 77.20833°E ﻿ /  28.61389; 77.20833 सबसे बड़ा शहर
870,State level  and  Eighth Schedule [ 9 ],उष्ण कटिबंधीय नम और शुष्क  – ( Aw );
871,"Eighth Schedule  Assamese Bengali Boro Dogri Gujarati Hindi Kannada Kashmiri Konkani Maithili Malayalam Manipuri Marathi Nepali Odia Punjabi Sanskrit Santali Sindhi Tamil Telugu Urdu State level [ e ]   Kokborok Lepcha Mizo Sikkimese all the 8th scheduled languages – except  Sindhi ,  Kashmiri  and  Dogri [ f ]",स्थानीय भाषाएं 447 बोली [ f ] धर्म   (2011) 79.8%  हिंदू 14.2%  इस्लाम 2.3%  ईसाई 1.7%  सिख 0.7%  बौद्ध 0.4%  जैन 0.23%  नास्तिकता 0.65%  अन्य [ 11 ] निवासीनाम भारतीय सरकार संघीय   संसदीय   संवैधानिक   गणराज्य •  राष्ट्रपति   द्रौपदी मुर्मू •  उपराष्ट्रपति   जगदीप धनखड़ •  प्रधानमंत्री   नरेंद्र मोदी •  मुख्य न्यायाधीश   धनंजय चंद्रचूड़ •  लोकसभा अध्यक्ष   ओम बिड़ला
872,Native languages 424 languages [ g ] Religion   (2011) [ 11 ] 79.8%  Hinduism 14.2%  Islam 2.3%  Christianity 1.7%  Sikhism 0.7%  Buddhism 0.4%  Jainism 0.23%  unaffiliated 0.65%  other Demonym(s) Indian others Government Federal  parliamentary republic •  President   Droupadi Murmu •  Prime Minister   Narendra Modi,"1,200 ईसा पूर्व  संस्कृत भाषा  संपूर्ण भारतीय उपमहाद्वीप में फैली हुए थी और तब तक यहां पर  हिंदू धर्म  का उद्धव हो चुका था और  ऋग्वेद  की रचना भी हो चुकी थी। [ 21 ]  इसी समय बौद्ध एवं जैन धर्म उत्पन्न हो रहे होते थे। [ 22 ]"
873,Legislature Parliament •  Upper house Rajya Sabha •  Lower house Lok Sabha Independence   from the  United Kingdom •  Dominion   15 August 1947 •  Republic   26 January 1950,"Page version status यह इस पृष्ठ का ""देखा हुआ"" स्तर तक पुनरीक्षित अवतरण है यह  17 नवम्बर 2024  को  पुनरीक्षित   स्थिर अवतरण  है।"
874,"Area  • Total 3,287,263 km 2  (1,269,219 sq mi) [ 2 ] [ h ]  ( 7th ) • Water (%) 9.6 Population • 2023 estimate  1,428,627,663 [ 13 ]  ( 1st ) • 2011 census  1,210,854,977 [ 14 ] [ 15 ]  ( 2nd ) • Density 428.7/km 2  (1,110.3/sq mi) ( 30th ) GDP   ( PPP ) 2025 estimate • Total   $17.36 trillion [ 16 ] [ 17 ]  ( 3rd ) • Per capita  $11,940 [ 16 ]  ( 119th ) GDP   (nominal) 2025 estimate • Total   $4.27 trillion [ 16 ]  ( 5th ) • Per capita  $2,940 [ 16 ]  ( 138th ) Gini   (2021)  32.8 [ 18 ] medium inequality HDI   (2022)  0.644 [ 19 ] medium  ( 134th ) Currency Indian rupee  ( ₹ ) ( INR ) Time zone UTC +05:30  ( IST ) DST  is not observed.","क्षेत्रफल  • कुल 3,287,263 [ 1 ]  कि॰मी 2  (1,269,219 वर्ग मील) [ g ]   सातवाँ ) • जल क्षेत्र (%) 9.6 जनसंख्या • 2023 आकलन  1,428,627,663 [ 13 ]  ( प्रथम ) • 2011 जनगणना 1,210,854,977 [ 14 ] [ 15 ]   (द्वितीया) • जनघनत्व 428.7/किमी 2  (1,110.3/मील 2 ) ([[ 30वाँ ]]) GDP   ( PPP ) 2024 प्राक्कलन • कुल   $14.594 trillion [ 16 ]  ( तृतीया ) • प्रति व्यक्ति  $10,123 [ 16 ]  ( 125वाँ ) GDP   (सांकेतिक) 2024 प्राक्कलन • कुल   $3.937 trillion [ 16 ]  ( 5वीं ) • प्रति व्यक्ति  $2,731 [ 16 ]  ( 136वीं ) गिनी   (2021)  32.8 [ 17 ] मध्यम HDI   (2022)  0.644 [ 18 ] मध्यम  ·  134वाँ मुद्रा भारतीय रुपया  (₹) ( INR ) समय मंडल UTC +05:30  ( आईएसटी ) डीएसटी  नहीं देखा गया। दिनांक प्रारूप dd - mm - yyyy [ h ] वाहन चलते हैं left [ 19 ] दूरभाष कोड +91 ISO 3166 कोड IN इंटरनेट TLD .in  ( अन्य )"
875,Date format dd - mm - yyyy [ i ] Calling code +91 ISO 3166 code IN Internet TLD .in  ( others ),"राष्ट्रीय गीत: "" वन्दे मातरम "" ( संस्कृत ) [ d ] ""मैं आपको नमन करता हूँ, माँ"" [ c ] [ 1 ]"
876,"India , officially the  Republic of India , [ j ] [ 21 ]  is a country in  South Asia .",प्रारंभिक राजनीतिक एकत्रीकरण ने  गंगा बेसिन  में स्थित  मौर्य  और  गुप्त साम्राज्यों  को जन्म दिया। [ 23 ]
877,"It is the  seventh-largest country by area ; the  most populous country  from June 2023 onwards; [ 22 ] [ 23 ]  and since its independence in 1947, the world's most populous democracy.","ध्येय वाक्य:  "" सत्यमेव जयते "" ( संस्कृत ) ""सत्य की ही विजय होती है"" [ 1 ] राष्ट्रगान:  "" जन गण मन "" ( हिंदी ) [ a ] [ b ] [ 1 ] [ 2 ]"
878,"[ 24 ] [ 25 ] [ 26 ]  Bounded by the  Indian Ocean  on the south, the  Arabian Sea  on the southwest, and the  Bay of Bengal  on the southeast, it shares land borders with  Pakistan  to the west; [ k ]   China ,  Nepal , and  Bhutan  to the north; and  Bangladesh  and  Myanmar  to the east.","एक बहुजातीय तथा बहुधार्मिक राष्ट्र होने के कारण भारत को समय-समय पर  साम्प्रदायिक  तथा जातीय विद्वेष का शिकार होना पड़ा है। क्षेत्रीय असंतोष तथा विद्रोह भी हालाँकि देश के अलग-अलग हिस्सों में होते रहे हैं, पर इसकी  धर्मनिरपेक्षता  तथा जनतांत्रिकता, केवल १९७५-७७ को छोड़, जब तत्कालीन प्रधानमंत्री  इंदिरा गांधी  ने  आपातकाल  की घोषणा कर दी थी, अक्षुण्ण रही है।"
879,"In the Indian Ocean, India is near  Sri Lanka  and the  Maldives ; its  Andaman and Nicobar Islands  share a maritime border with  Thailand , Myanmar, and  Indonesia .",आधिकारिक भाषा(एँ) हिंदी अंग्रेज़ी [ e ] [ 6 ] मान्यताप्राप्त राष्ट्रीय भाषा(एँ) कोई नहीं (भारत की कोई राष्ट्रभाषा नहीं है) [ 7 ] मान्यताप्राप्त क्षेत्रीय भाषा(एँ)
880,"Modern humans  arrived on the  Indian subcontinent  from Africa no later than 55,000 years ago.",तीसरी शताब्दी में सम्राट  अशोक  द्वारा बनाया गया  मध्य प्रदेश  में  साँची का स्तूप
